,dateRep,countriesAndTerritories,cases,deaths
0,04/10/2021,Austria,1532,5
1,03/10/2021,Austria,2000,7
2,02/10/2021,Austria,1953,4
3,01/10/2021,Austria,1997,6
4,30/09/2021,Austria,2536,14
5,29/09/2021,Austria,1338,7
6,28/09/2021,Austria,1267,5
7,27/09/2021,Austria,1556,6
8,26/09/2021,Austria,2029,4
9,25/09/2021,Austria,1803,10
10,24/09/2021,Austria,1708,9
11,23/09/2021,Austria,2089,12
12,22/09/2021,Austria,1242,17
13,21/09/2021,Austria,1162,7
14,20/09/2021,Austria,1708,7
15,19/09/2021,Austria,2072,5
16,18/09/2021,Austria,2235,9
17,17/09/2021,Austria,2283,8
18,16/09/2021,Austria,2638,8
19,15/09/2021,Austria,1859,7
20,14/09/2021,Austria,1227,4
21,13/09/2021,Austria,1891,0
22,12/09/2021,Austria,2431,5
23,11/09/2021,Austria,2259,5
24,10/09/2021,Austria,2157,3
25,09/09/2021,Austria,2505,6
26,08/09/2021,Austria,1496,8
27,07/09/2021,Austria,1342,7
28,06/09/2021,Austria,1729,5
29,05/09/2021,Austria,1865,4
30,04/09/2021,Austria,1733,7
31,03/09/2021,Austria,1549,3
32,02/09/2021,Austria,1821,6
33,01/09/2021,Austria,1265,1
34,31/08/2021,Austria,1092,2
35,30/08/2021,Austria,1339,5
36,29/08/2021,Austria,1408,4
37,28/08/2021,Austria,1490,2
38,27/08/2021,Austria,1535,2
39,26/08/2021,Austria,1618,2
40,25/08/2021,Austria,1014,3
41,24/08/2021,Austria,971,2
42,23/08/2021,Austria,1174,2
43,22/08/2021,Austria,1309,1
44,21/08/2021,Austria,1321,2
45,20/08/2021,Austria,1179,0
46,19/08/2021,Austria,1293,0
47,18/08/2021,Austria,864,0
48,17/08/2021,Austria,715,0
49,16/08/2021,Austria,871,2
50,15/08/2021,Austria,997,2
51,14/08/2021,Austria,967,2
52,13/08/2021,Austria,879,0
53,12/08/2021,Austria,894,1
54,11/08/2021,Austria,584,1
55,10/08/2021,Austria,343,1
56,09/08/2021,Austria,587,1
57,08/08/2021,Austria,673,1
58,07/08/2021,Austria,553,1
59,06/08/2021,Austria,485,2
60,05/08/2021,Austria,597,1
61,04/08/2021,Austria,376,2
62,03/08/2021,Austria,332,1
63,02/08/2021,Austria,444,1
64,01/08/2021,Austria,593,0
65,31/07/2021,Austria,517,1
66,30/07/2021,Austria,495,0
67,29/07/2021,Austria,528,0
68,28/07/2021,Austria,404,1
69,27/07/2021,Austria,291,2
70,26/07/2021,Austria,323,1
71,25/07/2021,Austria,368,0
72,24/07/2021,Austria,406,1
73,23/07/2021,Austria,463,0
74,22/07/2021,Austria,400,0
75,21/07/2021,Austria,306,0
76,20/07/2021,Austria,248,0
77,19/07/2021,Austria,325,0
78,18/07/2021,Austria,466,1
79,17/07/2021,Austria,328,0
80,16/07/2021,Austria,310,1
81,15/07/2021,Austria,268,2
82,14/07/2021,Austria,283,0
83,13/07/2021,Austria,87,0
84,12/07/2021,Austria,156,0
85,11/07/2021,Austria,25,0
86,10/07/2021,Austria,117,0
87,09/07/2021,Austria,130,1
88,08/07/2021,Austria,111,1
89,07/07/2021,Austria,90,0
90,06/07/2021,Austria,45,0
91,05/07/2021,Austria,73,3
92,04/07/2021,Austria,145,3
93,03/07/2021,Austria,163,1
94,02/07/2021,Austria,55,0
95,01/07/2021,Austria,36,1
96,30/06/2021,Austria,100,1
97,29/06/2021,Austria,75,1
98,28/06/2021,Austria,67,2
99,27/06/2021,Austria,129,0
100,26/06/2021,Austria,115,3
101,25/06/2021,Austria,101,3
102,24/06/2021,Austria,121,0
103,23/06/2021,Austria,108,2
104,22/06/2021,Austria,118,1
105,21/06/2021,Austria,109,2
106,20/06/2021,Austria,149,4
107,19/06/2021,Austria,132,2
108,18/06/2021,Austria,171,1
109,17/06/2021,Austria,181,3
110,16/06/2021,Austria,-171,2
111,15/06/2021,Austria,64,3
112,14/06/2021,Austria,216,4
113,13/06/2021,Austria,214,3
114,12/06/2021,Austria,234,0
115,11/06/2021,Austria,262,4
116,10/06/2021,Austria,328,4
117,09/06/2021,Austria,280,4
118,08/06/2021,Austria,259,5
119,07/06/2021,Austria,355,4
120,06/06/2021,Austria,304,2
121,05/06/2021,Austria,286,4
122,04/06/2021,Austria,323,6
123,03/06/2021,Austria,472,6
124,02/06/2021,Austria,364,4
125,01/06/2021,Austria,152,5
126,31/05/2021,Austria,366,5
